"","title","date","author","year","day","month","month.num","date.comb","date.format"
"1286","College Basketball: Presence in the NBA over Time","November 7, 2013","Mark T Patterson",2013,7,"November",11,"2013-11-7",2013-11-07
"1287","Databases for text analysis: archive and access texts using SQL","November 7, 2013","Rolf Fredheim",2013,7,"November",11,"2013-11-7",2013-11-07
"1288","Unsupervised data pre-processing: individual predictors","November 7, 2013","thiagogm",2013,7,"November",11,"2013-11-7",2013-11-07
"1289","Nonlinear Gmm with R – Example with a logistic regression","November 7, 2013","Bruno Rodrigues",2013,7,"November",11,"2013-11-7",2013-11-07
"1290","Webinar replay: What’s new in Revolution R Enterprise 7","November 6, 2013","David Smith",2013,6,"November",11,"2013-11-6",2013-11-06
"1291","EXIF with R | rCharts + catcorrjs + exiftool","November 6, 2013","klr",2013,6,"November",11,"2013-11-6",2013-11-06
"1292","Correspondence Analysis in R","November 6, 2013","tylerrinker",2013,6,"November",11,"2013-11-6",2013-11-06
"1293","A Mitochondrial Manhattan Plot","November 6, 2013","Will",2013,6,"November",11,"2013-11-6",2013-11-06
"1294","Local Council Spending Data – Time Series Charts","November 6, 2013","Tony Hirst",2013,6,"November",11,"2013-11-6",2013-11-06
"1295","R: Mapping Philippine Earthquakes (October 2013)","November 5, 2013","Al-Ahmadgaid Asaad",2013,5,"November",11,"2013-11-5",2013-11-05
"1296","The end of the line for error bars in R","November 5, 2013","John Baumgartner",2013,5,"November",11,"2013-11-5",2013-11-05
"1297","Ace Code Editor in Shiny (shinyAce)","November 5, 2013","Jeff Allen",2013,5,"November",11,"2013-11-5",2013-11-05
"1298","Writing a Metropolis-Hastings within Gibbs sampler in R for a 2PL IRT model (9 posts)","November 5, 2013","nmv",2013,5,"November",11,"2013-11-5",2013-11-05
"1299","RSiteCatalyst Version 1.2 Release Notes","November 5, 2013","Randy Zwitch",2013,5,"November",11,"2013-11-5",2013-11-05
"1300","Display googleVis charts within RStudio","November 5, 2013","Markus Gesmann",2013,5,"November",11,"2013-11-5",2013-11-05
"1301","R jobs (September, October 2013)","November 5, 2013","Tal Galili",2013,5,"November",11,"2013-11-5",2013-11-05
"1302","Finding Reversal Zone in Intraday FX prices","November 5, 2013","The R Trader",2013,5,"November",11,"2013-11-5",2013-11-05
"1303","NYC R Programming Classes – starting this coming Sunday","November 5, 2013","Tal Galili",2013,5,"November",11,"2013-11-5",2013-11-05
"1304","Enron Email Corpus Topic Model Analysis Part 2 – This Time with Better regex","November 4, 2013","inkhorn82",2013,4,"November",11,"2013-11-4",2013-11-04
"1305","Commissions","November 4, 2013","systematicinvestor",2013,4,"November",11,"2013-11-4",2013-11-04
"1306","Strata + Hadoop World 2013 Recap","November 4, 2013","David Smith",2013,4,"November",11,"2013-11-4",2013-11-04
"1307","Smoothing mortality rates","November 4, 2013","arthur charpentier",2013,4,"November",11,"2013-11-4",2013-11-04
"1308","Using R to find Obama’s most frequent twitter hashtags","November 4, 2013","Mark T Patterson",2013,4,"November",11,"2013-11-4",2013-11-04
"1309","Archival and analysis of #GI2013 Tweets","November 4, 2013","Stephen Turner",2013,4,"November",11,"2013-11-4",2013-11-04
"1310","Generating d3js Motion Charts from rCharts","November 4, 2013","Tony Hirst",2013,4,"November",11,"2013-11-4",2013-11-04
"1311","The Motivation for the Poisson Distribution","November 4, 2013","Francis Smart",2013,4,"November",11,"2013-11-4",2013-11-04
"1312","quantstrat is slow","November 4, 2013","Joshua Ulrich",2013,4,"November",11,"2013-11-4",2013-11-04
"1313","Spatial Clustering With Equal Sizes","November 4, 2013","Wesley",2013,4,"November",11,"2013-11-4",2013-11-04
"1314","Species occurrence data to CartoDB","November 4, 2013","rOpenSci Blog - R",2013,4,"November",11,"2013-11-4",2013-11-04
"1315","analyze the american national election studies (anes) with r","November 4, 2013","Anthony Damico",2013,4,"November",11,"2013-11-4",2013-11-04
"1316","Introduction to Fractals","November 3, 2013","andrew",2013,3,"November",11,"2013-11-3",2013-11-03
"1317","2013-11 Automatic Conversion of Tables to LongForm Dataframes","November 3, 2013","akoh003",2013,3,"November",11,"2013-11-3",2013-11-03
"1318","Unusual timing shows how random mass murder can be (or not)","November 3, 2013","xi'an",2013,3,"November",11,"2013-11-3",2013-11-03
"1319","The Rise, Fall and Rise of English Triple Crown Racing Speeds","November 3, 2013","Patrick Rhodes",2013,3,"November",11,"2013-11-3",2013-11-03
"1320","Dream Team – combining Tableau and R","November 3, 2013","Data * Science + R",2013,3,"November",11,"2013-11-3",2013-11-03
"1321","A Rather Nosy Topic Model Analysis of the Enron Email Corpus","November 3, 2013","inkhorn82",2013,3,"November",11,"2013-11-3",2013-11-03
"1322","Simulating Abstract Art with R","November 3, 2013","Mark T Patterson",2013,3,"November",11,"2013-11-3",2013-11-03
"1323","Statistical aspects of two-way cross-over studies","November 3, 2013","Wingfeet",2013,3,"November",11,"2013-11-3",2013-11-03
"1324","Les k-plus prcoches voisins :Vite, il faut se la réapproprier…","November 2, 2013","G-Tch",2013,2,"November",11,"2013-11-2",2013-11-02
"1325","Consumer’s Choosing an Optimal Bundle – Utility Maximization","November 2, 2013","Francis Smart",2013,2,"November",11,"2013-11-2",2013-11-02
"1326","Weekend Reading: Market Neutral","November 1, 2013","systematicinvestor",2013,1,"November",11,"2013-11-1",2013-11-01
"1327","What’s new in Revolution R Enterprise? Webinar November 5","November 1, 2013","David Smith",2013,1,"November",11,"2013-11-1",2013-11-01
"1328","Some Weekend Reading","November 1, 2013","Dave Giles",2013,1,"November",11,"2013-11-1",2013-11-01
"1329","Efficiency Balanced Information Criterion for Item Selection","November 1, 2013","Francis Smart",2013,1,"November",11,"2013-11-1",2013-11-01
"1330","Quarterback Wonderlic Scores by Institution (Academic) Strength","November 1, 2013","Mark T Patterson",2013,1,"November",11,"2013-11-1",2013-11-01
"1331","Percolation Threshold: Including Next-Nearest Neighbours","November 1, 2013","andrew",2013,1,"November",11,"2013-11-1",2013-11-01
"1332","Formatting Markdown Tables with R","November 1, 2013","Educate-R - R",2013,1,"November",11,"2013-11-1",2013-11-01
"1333","Data Preparation – Part I","October 31, 2013","Flavio Barros",2013,31,"October",10,"2013-10-31",2013-10-31
"1334","Real-time streaming differential RNA-seq analysis with eXpress","October 31, 2013","Stephen Turner",2013,31,"October",10,"2013-10-31",2013-10-31
"1335","Simulation of an Oxford (Undergrad) Interview Question","October 31, 2013","Mark T Patterson",2013,31,"October",10,"2013-10-31",2013-10-31
"1336","Finding R in a Hadoop World","October 31, 2013","Joseph Rickert",2013,31,"October",10,"2013-10-31",2013-10-31
"1337","4th MilanoR meeting: please leave a comment","October 31, 2013","Milano R net",2013,31,"October",10,"2013-10-31",2013-10-31
"1338","Photos of the 4th MilanoR meeting","October 31, 2013","Milano R net",2013,31,"October",10,"2013-10-31",2013-10-31
"1339","Reshape and aggregate data with the R package reshape2","October 31, 2013","thiagogm",2013,31,"October",10,"2013-10-31",2013-10-31
"1340","Visual interpretation of interaction terms in linear models with ggplot #rstats","October 31, 2013","Daniel",2013,31,"October",10,"2013-10-31",2013-10-31
"1341","Presentations of the 4th MilanoR meeting","October 31, 2013","Milano R net",2013,31,"October",10,"2013-10-31",2013-10-31
"1342","Halloween and candies (a ballot problem)","October 30, 2013","arthur charpentier",2013,30,"October",10,"2013-10-30",2013-10-30
"1343","Detecting an Unfair Die with Bayes’ Theorem","October 30, 2013","Eric Cai - The Chemical Statistician",2013,30,"October",10,"2013-10-30",2013-10-30
"1344","More significant? so what…","October 30, 2013","arthur charpentier",2013,30,"October",10,"2013-10-30",2013-10-30
"1345","Multiple Removal Estimates at Once","October 30, 2013","dogle",2013,30,"October",10,"2013-10-30",2013-10-30
"1346","What Hadley Wickham uses","October 30, 2013","David Smith",2013,30,"October",10,"2013-10-30",2013-10-30
"1347","R and my divorce from Word","October 30, 2013","Maxwell B. Joseph",2013,30,"October",10,"2013-10-30",2013-10-30
"1348","Binomial confidence intervals: exact vs. approximate","October 30, 2013","heuristicandrew",2013,30,"October",10,"2013-10-30",2013-10-30
"1349","Financial Data Accessible from R – part II","October 30, 2013","The R Trader",2013,30,"October",10,"2013-10-30",2013-10-30
"1350","Percolation Threshold on a Square Lattice","October 29, 2013","andrew",2013,29,"October",10,"2013-10-29",2013-10-29
"1351","Bacteria and Alzheimer’s disease: I just need to know if ten patients are enough","October 29, 2013","nsaunders",2013,29,"October",10,"2013-10-29",2013-10-29
"1352","swirl: Learning Statistics & R","October 29, 2013","Dave Giles",2013,29,"October",10,"2013-10-29",2013-10-29
"1353","Poisson regression fitted by glm(), maximum likelihood, and MCMC","October 29, 2013","petrkeil",2013,29,"October",10,"2013-10-29",2013-10-29
"1354","Rcpp 0.10.6","October 29, 2013","Thinking inside the box",2013,29,"October",10,"2013-10-29",2013-10-29
"1355","Video: Revolution R Enterprise 7 interview on theCUBE","October 29, 2013","David Smith",2013,29,"October",10,"2013-10-29",2013-10-29
"1356","Fellow me","October 29, 2013","Gianluca Baio",2013,29,"October",10,"2013-10-29",2013-10-29
"1357","2013-10 Automatic Conversion of Tables to LongForm Dataframes","October 29, 2013","acho050",2013,29,"October",10,"2013-10-29",2013-10-29
"1358","Two interesting ideas here:
“trading time”
price impact of a…","October 29, 2013","Isomorphismes",2013,29,"October",10,"2013-10-29",2013-10-29
"1359","Scaling up text processing and Shutting up R: Topic modelling and MALLET","October 29, 2013","Rolf Fredheim",2013,29,"October",10,"2013-10-29",2013-10-29
"1360","A first attempt at an individual-based model in R","October 29, 2013","Marc in the box",2013,29,"October",10,"2013-10-29",2013-10-29
"1361","Forecasting the number of visitors on your website using R. Part II","October 29, 2013","parth",2013,29,"October",10,"2013-10-29",2013-10-29
"1362","A Call for Contributors","October 29, 2013","Francis Smart",2013,29,"October",10,"2013-10-29",2013-10-29
"1363","High resolution graphics with R","October 29, 2013","Markus Gesmann",2013,29,"October",10,"2013-10-29",2013-10-29
"1364","Updates for Proportional Minimum Variance and Adaptive Shrinkage methods","October 28, 2013","systematicinvestor",2013,28,"October",10,"2013-10-28",2013-10-28
"1365","Anand versus Carlsen – Chennai 2013 – What can we expect in November?","October 28, 2013","Ram",2013,28,"October",10,"2013-10-28",2013-10-28
"1366","Myown way to Data Science","October 28, 2013","G-Tch",2013,28,"October",10,"2013-10-28",2013-10-28
"1367","Cont model – Part II","October 28, 2013","Bogumil Kaminski",2013,28,"October",10,"2013-10-28",2013-10-28
"1368","Introducing Revolution R Enterprise 7","October 28, 2013","David Smith",2013,28,"October",10,"2013-10-28",2013-10-28
"1369","Call them what you will","October 28, 2013","Will",2013,28,"October",10,"2013-10-28",2013-10-28
"1370","One step ahead in Bioinformatics using Package Repositories","October 28, 2013","Yasset Perez-Riverol",2013,28,"October",10,"2013-10-28",2013-10-28
"1371","Modified Bin and Union Method for Item Pool Design","October 28, 2013","Francis Smart",2013,28,"October",10,"2013-10-28",2013-10-28
"1372","Analysis of #ASHG2013 Tweets","October 28, 2013","Stephen Turner",2013,28,"October",10,"2013-10-28",2013-10-28
"1373","Warning: Mac OS 10.9 Mavericks and R Don’t Play Nicely","October 27, 2013","Andy",2013,27,"October",10,"2013-10-27",2013-10-27
"1374","ipython notebook for R: Quickstart for Ubuntu","October 27, 2013","Michael J Bommarito II",2013,27,"October",10,"2013-10-27",2013-10-27
"1375","Alternative to Grouped Bar Charts in R","October 27, 2013","hrbrmstr",2013,27,"October",10,"2013-10-27",2013-10-27
"1376","Let’s have a ""party"" and tear this place ""rpart""!","October 27, 2013","Cory Lesmeister",2013,27,"October",10,"2013-10-27",2013-10-27
"1377","Montreal R User Group –  Dr. Ramnath Vaidyanathan on his rCharts package","October 27, 2013","Corey Chivers",2013,27,"October",10,"2013-10-27",2013-10-27
"1378","Symmetry in Williams designs","October 27, 2013","Wingfeet",2013,27,"October",10,"2013-10-27",2013-10-27
"1379","Practical Data Science with R October 2013 update","October 26, 2013","John Mount",2013,26,"October",10,"2013-10-26",2013-10-26
"1380","Read more »","October 25, 2013","David Smith",2013,25,"October",10,"2013-10-25",2013-10-25
"1381","How to switch from spreadsheets to R for data analysis","October 25, 2013","klr",2013,25,"October",10,"2013-10-25",2013-10-25
"1382","Combining Eugene Fama, rCharts, dygraphs, and scholar","October 25, 2013","Benedikt Koehler",2013,25,"October",10,"2013-10-25",2013-10-25
"1383","Mining Research Interests – or: What Would Google Want to Know?","October 25, 2013","Yasset Perez-Riverol",2013,25,"October",10,"2013-10-25",2013-10-25
"1384","Little Book of R for Bioinformatics by Avril Coghlan","October 25, 2013","grumble10",2013,25,"October",10,"2013-10-25",2013-10-25
"1385","Manipulation of the legend in ggplot2 (R)","October 25, 2013","klr",2013,25,"October",10,"2013-10-25",2013-10-25
"1386","Equity Market Risk Premium Around the World","October 25, 2013","Pete",2013,25,"October",10,"2013-10-25",2013-10-25
"1387","Another Rcpp/RcppArmadillo success story","October 25, 2013","Eeshan Malhotra",2013,25,"October",10,"2013-10-25",2013-10-25
"1388","xkcd: A webcomic of the internet, small talk, meta discussions, and whimsical phantasmagoria","October 25, 2013","Pete",2013,25,"October",10,"2013-10-25",2013-10-25
"1389","The case for data snooping","October 24, 2013","arthur charpentier",2013,24,"October",10,"2013-10-24",2013-10-24
"1390","Pricing Reinsurance Contracts","October 24, 2013","Mollie",2013,24,"October",10,"2013-10-24",2013-10-24
"1391","Table as an Image in R","October 24, 2013","Avraham Adler",2013,24,"October",10,"2013-10-24",2013-10-24
"1392","An OpenBLAS-based Rblas for Windows 64: Step-by-step","October 24, 2013","Martin Schneider",2013,24,"October",10,"2013-10-24",2013-10-24
"1393","NESSIS 2013: The future of sports statistics is here!","October 24, 2013","Joseph Rickert",2013,24,"October",10,"2013-10-24",2013-10-24
"1394","Creating an Open Source Revolution in Computational Proteomics","October 24, 2013","Yasset Perez-Riverol",2013,24,"October",10,"2013-10-24",2013-10-24
"1395","The joy of data analysis","October 24, 2013","Patrick Burns",2013,24,"October",10,"2013-10-24",2013-10-24
"1396","ISO Popularity on Flickr Explore","October 24, 2013","klr",2013,24,"October",10,"2013-10-24",2013-10-24
"1397","Introducing the CRAN Repository Policy Watch","October 23, 2013","Thinking inside the box",2013,23,"October",10,"2013-10-23",2013-10-23
"1398","The Basics of Encoding Categorical Data for Predictive Models","October 23, 2013","Max Kuhn",2013,23,"October",10,"2013-10-23",2013-10-23
"1399","Customize your R session with .Rprofile","October 23, 2013","David Smith",2013,23,"October",10,"2013-10-23",2013-10-23
"1400","Update for Backtesting Asset Allocation Portfolios post","October 23, 2013","systematicinvestor",2013,23,"October",10,"2013-10-23",2013-10-23
"1401","Numerical computation of quantiles","October 23, 2013","thiagogm",2013,23,"October",10,"2013-10-23",2013-10-23
"1402","Overfitted Backtests","October 23, 2013","klr",2013,23,"October",10,"2013-10-23",2013-10-23
"1403","Analyzing volatility patterns for SP500 stocks","October 23, 2013","Christian Groll",2013,23,"October",10,"2013-10-23",2013-10-23
"1404","Global Migration Flow Table Estimates","October 23, 2013","gjabel",2013,23,"October",10,"2013-10-23",2013-10-23
"1405","New R package: scholar","October 23, 2013","James Keirstead",2013,23,"October",10,"2013-10-23",2013-10-23
"1406","My experience of learning R – from basic graphs to performance tuning","October 23, 2013","Mani Sarkar",2013,23,"October",10,"2013-10-23",2013-10-23
"1407","Time series plots in R","October 23, 2013","Gavin L. Simpson",2013,23,"October",10,"2013-10-23",2013-10-23
"1408","Interactive maps with polygons using R, Geojson, and Github","October 22, 2013","rOpenSci Blog - R",2013,22,"October",10,"2013-10-22",2013-10-22
"1409","Pre-calculating large tables of values","October 22, 2013","Deciphering life: One bit at a time :: R",2013,22,"October",10,"2013-10-22",2013-10-22
"1410","GLM, non-linearity and heteroscedasticity","October 22, 2013","arthur charpentier",2013,22,"October",10,"2013-10-22",2013-10-22
"1411","An introduction to Econometrics, using R","October 22, 2013","David Smith",2013,22,"October",10,"2013-10-22",2013-10-22
"1412","Build your own Twitter Archive and Analyzing Infrastructure with MongoDB, Java and R [Part 1] [Update]","October 22, 2013","julianhi",2013,22,"October",10,"2013-10-22",2013-10-22
"1413","An OpenBLAS-based Rblas for Windows 64","October 22, 2013","Avraham Adler",2013,22,"October",10,"2013-10-22",2013-10-22
"1414","RStudio and OS X 10.9 Mavericks","October 22, 2013","jjallaire",2013,22,"October",10,"2013-10-22",2013-10-22
"1415","Knoxville R User’s Group Meeting November 1","October 22, 2013","Bob Muenchen",2013,22,"October",10,"2013-10-22",2013-10-22
"1416","Quant finance blogs","October 22, 2013","Pat",2013,22,"October",10,"2013-10-22",2013-10-22
"1417","Review: Kölner R Meeting 18 October 2013","October 22, 2013","Markus Gesmann",2013,22,"October",10,"2013-10-22",2013-10-22
"1418","OA week – A simple use case for programmatic access to PLOS full text","October 21, 2013","rOpenSci Blog - R",2013,21,"October",10,"2013-10-21",2013-10-21
"1419","Open VS Closed Analysis Languages","October 21, 2013","Deciphering life: One bit at a time :: R",2013,21,"October",10,"2013-10-21",2013-10-21
"1420","When did “How I Met Your Mother” become less legen.. wait for it…","October 21, 2013","inkhorn82",2013,21,"October",10,"2013-10-21",2013-10-21
"1421","Using R to parse time (and taxon names) with GBIF’s API","October 21, 2013","John Baumgartner",2013,21,"October",10,"2013-10-21",2013-10-21
"1422","machine learning [book review, part 2]","October 21, 2013","xi'an",2013,21,"October",10,"2013-10-21",2013-10-21
"1423","Video: Time-to-event models","October 21, 2013","David Smith",2013,21,"October",10,"2013-10-21",2013-10-21
"1424","character handling: mean() vs sd()","October 21, 2013","Lee Pang",2013,21,"October",10,"2013-10-21",2013-10-21
"1425","A note about the estimating the number of visits to a site","October 21, 2013","Aviad Klein",2013,21,"October",10,"2013-10-21",2013-10-21
"1426","Tracking the 2013 Hurricane Season","October 21, 2013","Wesley",2013,21,"October",10,"2013-10-21",2013-10-21
"1427","analyze the national vital statistics system (nvss) with r and monetdb","October 21, 2013","Anthony Damico",2013,21,"October",10,"2013-10-21",2013-10-21
"1428","Follow up to Johnson et al Post","October 20, 2013","Corey Chivers",2013,20,"October",10,"2013-10-20",2013-10-20
"1429","Bar plot with error bars in R","October 20, 2013","heuristicandrew",2013,20,"October",10,"2013-10-20",2013-10-20
"1430","machine learning [book review]","October 20, 2013","xi'an",2013,20,"October",10,"2013-10-20",2013-10-20
"1431","How Do You Write Your Model Definitions?","October 20, 2013","Rasmus Bååth",2013,20,"October",10,"2013-10-20",2013-10-20
"1432","FEMA’s Flood Insurance Program – Analysis & Maps using R","October 20, 2013","Nine Lives",2013,20,"October",10,"2013-10-20",2013-10-20
"1433","No surprises: More people tweet more. Visualizing twitter counts during election day.","October 20, 2013","Sascha W.",2013,20,"October",10,"2013-10-20",2013-10-20
"1434","A Nation of Real Estate Agents","October 20, 2013","leisuretronic",2013,20,"October",10,"2013-10-20",2013-10-20
"1435","boxplotdbl and diaplt Packages 1.0.0 Public Beta are Available","October 20, 2013","tomizono",2013,20,"October",10,"2013-10-20",2013-10-20
"1436","R2jags & BCEA (& the examples from BMHE)","October 19, 2013","Gianluca Baio",2013,19,"October",10,"2013-10-19",2013-10-19
"1437","New BH release 1.51.1-3","October 19, 2013","Thinking inside the box",2013,19,"October",10,"2013-10-19",2013-10-19
"1438","Optimizing a multivariable function parameters using a random method, genetic algorithm and simulated annealing in R","October 19, 2013","Benjamin Tovar Cisneros",2013,19,"October",10,"2013-10-19",2013-10-19
"1439","Which are the best programming languages for a bioinformatician?","October 19, 2013","Yasset Perez-Riverol",2013,19,"October",10,"2013-10-19",2013-10-19
"1440","R package for effect size calculations for psychology researchers","October 19, 2013","andrew",2013,19,"October",10,"2013-10-19",2013-10-19
"1441","Plotting Times of Discrete Events","October 19, 2013","andrew",2013,19,"October",10,"2013-10-19",2013-10-19
"1442","Carry-over balanced designs for 8 treatments","October 19, 2013","Wingfeet",2013,19,"October",10,"2013-10-19",2013-10-19
"1443","Markdown or LaTeX?","October 19, 2013","Yihui Xie",2013,19,"October",10,"2013-10-19",2013-10-19
"1444","Subsidies, Revenues, and Expenses of NCAA Division I Public Schools Athletic Departments – Visualizations using rCharts and animint generated interactive ggplots","October 18, 2013","Vivek Patil",2013,18,"October",10,"2013-10-18",2013-10-18
"1445","Trading Strategies Performance Report with R and Knitr","October 18, 2013","rtraderadmin",2013,18,"October",10,"2013-10-18",2013-10-18
"1446","Forbes on putting R-based analytics in the hands of business analysts","October 18, 2013","David Smith",2013,18,"October",10,"2013-10-18",2013-10-18
"1447","Version 1.1 of the likert Package Released to CRAN","October 18, 2013","Jason Bryer",2013,18,"October",10,"2013-10-18",2013-10-18
"1448","Three jobs at Monash","October 17, 2013","Rob J Hyndman",2013,17,"October",10,"2013-10-17",2013-10-17
"1449","Big and small daycares in Toronto by building type, mapped using RGoogleMaps and Toronto Open Data","October 17, 2013","inkhorn82",2013,17,"October",10,"2013-10-17",2013-10-17
"1450","R/Finance 2014 Call for Papers","October 17, 2013","Joshua Ulrich",2013,17,"October",10,"2013-10-17",2013-10-17
"1451","drawing surface plots on the IR³ simplex","October 17, 2013","xi'an",2013,17,"October",10,"2013-10-17",2013-10-17
"1452","Line Breaks Between Words in Axis Labels in ggplot in R","October 17, 2013","Mollie",2013,17,"October",10,"2013-10-17",2013-10-17
"1453","Introduction to Feature selection for bioinformaticians using R, correlation matrix filters, PCA & backward selection","October 17, 2013","Yasset Perez-Riverol",2013,17,"October",10,"2013-10-17",2013-10-17
"1454","What R Has Been Missing","October 17, 2013","Bob Muenchen",2013,17,"October",10,"2013-10-17",2013-10-17
"1455","Equidistant points on a map","October 17, 2013","arthur charpentier",2013,17,"October",10,"2013-10-17",2013-10-17
"1456","The ACM 2013 Mining Big Data Camp and ""Un-Conference""","October 17, 2013","Joseph Rickert",2013,17,"October",10,"2013-10-17",2013-10-17
"1457","Mapping Earthquake in Bohol using R","October 17, 2013","arsalvacion",2013,17,"October",10,"2013-10-17",2013-10-17
"1458","beta HPD","October 17, 2013","xi'an",2013,17,"October",10,"2013-10-17",2013-10-17
"1459","Hungarian RUG on ggplot2","October 17, 2013","Gergely Daróczi",2013,17,"October",10,"2013-10-17",2013-10-17
"1460","OpenCPU Release 1.0.4","October 17, 2013","Jeroen Ooms",2013,17,"October",10,"2013-10-17",2013-10-17
"1462","Fantasy Football Modeling with R","October 16, 2013","David Smith",2013,16,"October",10,"2013-10-16",2013-10-16
"1463","Cont model back after a year","October 16, 2013","Bogumil Kaminski",2013,16,"October",10,"2013-10-16",2013-10-16
"1464","accelerated ABC","October 16, 2013","xi'an",2013,16,"October",10,"2013-10-16",2013-10-16
"1465","Le Tour","October 16, 2013","Gianluca Baio",2013,16,"October",10,"2013-10-16",2013-10-16
"1466","A first step towards R from spreadsheets","October 16, 2013","Patrick Burns",2013,16,"October",10,"2013-10-16",2013-10-16
"1467","Latent Gaussian Models and INLA","October 16, 2013","thiagogm",2013,16,"October",10,"2013-10-16",2013-10-16
"1468","R User Group meetings in New Jersey, Basel, Manchester and London","October 16, 2013","Tal Galili",2013,16,"October",10,"2013-10-16",2013-10-16
"1469","A Bayesian Model for a Function Increasing by Chi-Squared Jumps (in Stan)","October 16, 2013","David",2013,16,"October",10,"2013-10-16",2013-10-16
"1470","R, RStudio, and release and dev Bioconductor","October 16, 2013","Deciphering life: One bit at a time :: R",2013,16,"October",10,"2013-10-16",2013-10-16
"1471","Portable, personal packages","October 15, 2013","Deciphering life: One bit at a time :: R",2013,15,"October",10,"2013-10-15",2013-10-15
"1472","Generating your own normal distribution table","October 15, 2013","arthur charpentier",2013,15,"October",10,"2013-10-15",2013-10-15
"1473","R usage skyrocketing: Rexer poll","October 15, 2013","David Smith",2013,15,"October",10,"2013-10-15",2013-10-15
"1474","Alteryx integrates with Revolution R Enterprise","October 15, 2013","David Smith",2013,15,"October",10,"2013-10-15",2013-10-15
"1475","Bio7 1.7.1 MacOSX Released","October 15, 2013","» R",2013,15,"October",10,"2013-10-15",2013-10-15
"1476","Science at the speed of ligth","October 15, 2013","ibartomeus",2013,15,"October",10,"2013-10-15",2013-10-15
"1477","playing along with Elias Wegert in R:
X <-…","October 15, 2013","Isomorphismes",2013,15,"October",10,"2013-10-15",2013-10-15
"1478","Next Kölner R User Meeting: 18 Oktober 2013","October 14, 2013","Markus Gesmann",2013,14,"October",10,"2013-10-14",2013-10-14
"1479","R: Mapping Typhoon Labuyo (Utor) Track","October 14, 2013","Al-Ahmadgaid Asaad",2013,14,"October",10,"2013-10-14",2013-10-14
"1480","Beta Distribution and the NJ U.S. Senate Election","October 14, 2013","Wesley",2013,14,"October",10,"2013-10-14",2013-10-14
"1481","Ask bigger questions with Revolution R Enterprise and Cloudera Hadoop","October 14, 2013","David Smith",2013,14,"October",10,"2013-10-14",2013-10-14
"1482","R, RStudio, and release and dev Bioconductor","October 14, 2013","Deciphering life: One bit at a time :: R",2013,14,"October",10,"2013-10-14",2013-10-14
"1483","Portable, personal packages","October 14, 2013","Deciphering life: One bit at a time :: R",2013,14,"October",10,"2013-10-14",2013-10-14
"1484","How To Put Your Meetup On the Map (Literally)","October 14, 2013","Guest Author",2013,14,"October",10,"2013-10-14",2013-10-14
"1485","MCMSki IV, Jan. 6-8, 2014, Chamonix (news #10)","October 14, 2013","xi'an",2013,14,"October",10,"2013-10-14",2013-10-14
"1486","Four moments of portfolios","October 14, 2013","Pat",2013,14,"October",10,"2013-10-14",2013-10-14
"1487","Applying an Operation to a List of Variables","October 14, 2013","andrew",2013,14,"October",10,"2013-10-14",2013-10-14
"1488","Interactive 3D in Shiny (shinyRGL)","October 13, 2013","Jeff Allen",2013,13,"October",10,"2013-10-13",2013-10-13
"1489","rPython – R Interface to Python","October 13, 2013","statcompute",2013,13,"October",10,"2013-10-13",2013-10-13
"1490","Use Sweave with TeXmaker and make SyncTeX work properly with it","October 13, 2013","Hidden Treasures",2013,13,"October",10,"2013-10-13",2013-10-13
"1491","UK House Prices vs. Household Incomes","October 13, 2013","Joe'sDataDiner",2013,13,"October",10,"2013-10-13",2013-10-13
"1492","Remembering the Gist, But Not the Details:  One-Dimensional Representation of Consumer Ratings","October 13, 2013","Joel Cadwell",2013,13,"October",10,"2013-10-13",2013-10-13
"1493","Fearsome Engines Part 3: Which one should you use?","October 13, 2013","richierocks",2013,13,"October",10,"2013-10-13",2013-10-13
"1494","Fearsome Engines Part 2: Innovations and new features","October 13, 2013","richierocks",2013,13,"October",10,"2013-10-13",2013-10-13
"1495","Prices of houses in the Netherlands","October 13, 2013","Wingfeet",2013,13,"October",10,"2013-10-13",2013-10-13
"1496","Stochastic Optimization in R by Parallel Tempering","October 12, 2013","Lindons Log » R",2013,12,"October",10,"2013-10-12",2013-10-12
"1497","Batch Geocoding with R and Google maps","October 12, 2013","shanelynn",2013,12,"October",10,"2013-10-12",2013-10-12
"1498","Using ggplot2","October 11, 2013","Abbas Keshvani",2013,11,"October",10,"2013-10-11",2013-10-11
"1499","elliplot 1.1.1 package is now available at CRAN","October 11, 2013","tomizono",2013,11,"October",10,"2013-10-11",2013-10-11
"1500","In case you missed it: September 2013 Roundup","October 11, 2013","David Smith",2013,11,"October",10,"2013-10-11",2013-10-11
"1501","October 24: 4th MilanoR meeting. Agenda","October 11, 2013","Milano R net",2013,11,"October",10,"2013-10-11",2013-10-11
"1502","RProtoBuf & HistogramTools: Statistical Analysis Tools for Large Data Sets","October 10, 2013","Stephanie Taylor",2013,10,"October",10,"2013-10-10",2013-10-10
"1503","Random Sequence of Heads and Tails: For R Users","October 10, 2013","Wesley",2013,10,"October",10,"2013-10-10",2013-10-10
"1504","Custom Legend in R","October 10, 2013","Mollie",2013,10,"October",10,"2013-10-10",2013-10-10
"1505","Update to read.ply() and associated digitizing functions","October 10, 2013","Emma Sherratt",2013,10,"October",10,"2013-10-10",2013-10-10
"1506","Calculating AUC the hard way","October 10, 2013","Corey Chivers",2013,10,"October",10,"2013-10-10",2013-10-10
